Player,Age,Tm,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,Year,MVP,W/L%,SRS,Playoffs
Amar'e Stoudemire,24,PHO,0.002,82,32.8,20.4,9.6,1.0,1.0,1.3,0.575,0.0,0.7809999999999999,11.2,0.201,2007,False,0.7440000000000001,7.28,True
Carmelo Anthony,22,DEN,0.001,65,38.2,28.9,6.0,3.8,1.2,0.4,0.47600000000000003,0.268,0.8079999999999999,7.3,0.14,2007,False,0.5489999999999999,1.69,True
Baron Davis,27,GSW,0.001,63,35.3,20.1,4.4,8.1,2.1,0.5,0.439,0.304,0.745,6.4,0.139,2007,False,0.512,0.0,True
Tony Parker,24,SAS,0.001,77,32.5,18.6,3.2,5.5,1.1,0.1,0.52,0.395,0.7829999999999999,9.6,0.185,2007,False,0.7070000000000001,8.35,True
Kobe Bryant,29,LAL,0.873,82,38.9,28.3,6.3,5.4,1.8,0.5,0.45899999999999996,0.361,0.84,13.8,0.20800000000000002,2008,True,0.695,7.34,True
Chris Paul,22,NOH,0.71,80,37.6,21.1,4.0,11.6,2.7,0.1,0.488,0.369,0.851,17.8,0.284,2008,False,0.6829999999999999,5.46,True
Kevin Garnett,31,BOS,0.532,71,32.8,18.8,9.2,3.4,1.4,1.3,0.539,0.0,0.8009999999999999,12.9,0.265,2008,False,0.805,9.3,True
LeBron James,23,CLE,0.348,75,40.4,30.0,7.9,7.2,1.8,1.1,0.484,0.315,0.7120000000000001,15.2,0.242,2008,False,0.5489999999999999,-0.53,True
Dwight Howard,22,ORL,0.048,82,37.7,20.7,14.2,1.3,0.9,2.1,0.599,0.0,0.59,12.9,0.2,2008,False,0.634,4.79,True
Amar'e Stoudemire,25,PHO,0.021,79,33.9,25.2,9.1,1.5,0.8,2.1,0.59,0.161,0.805,14.6,0.262,2008,False,0.6709999999999999,5.14,True
Tim Duncan,31,SAS,0.02,78,34.0,19.3,11.3,2.8,0.7,1.9,0.49700000000000005,0.0,0.73,11.1,0.201,2008,False,0.6829999999999999,5.1,True
Tracy McGrady,28,HOU,0.015,66,37.0,21.6,5.1,5.9,1.0,0.5,0.419,0.292,0.684,5.8,0.115,2008,False,0.6709999999999999,4.83,True
Steve Nash,33,PHO,0.013999999999999999,81,34.3,16.9,3.5,11.1,0.7,0.1,0.504,0.47,0.9059999999999999,10.5,0.18100000000000002,2008,False,0.6709999999999999,5.14,True
Manu Ginóbili,30,SAS,0.006999999999999999,74,31.1,19.5,4.8,4.5,1.5,0.4,0.46,0.401,0.86,11.1,0.23199999999999998,2008,False,0.6829999999999999,5.1,True
Dirk Nowitzki,29,DAL,0.004,77,36.0,23.6,8.6,3.5,0.7,0.9,0.479,0.359,0.879,12.9,0.223,2008,False,0.622,4.7,True
Deron Williams,23,UTA,0.003,82,37.3,18.8,3.0,10.5,1.1,0.3,0.507,0.395,0.8029999999999999,11.3,0.177,2008,False,0.659,6.86,True
Carmelo Anthony,23,DEN,0.002,77,36.4,25.7,7.4,3.4,1.3,0.5,0.49200000000000005,0.354,0.7859999999999999,8.2,0.14,2008,False,0.61,3.74,True
Carlos Boozer,26,UTA,0.001,81,34.9,21.1,10.4,2.9,1.2,0.5,0.547,0.0,0.738,10.2,0.17300000000000001,2008,False,0.659,6.86,True
Antawn Jamison,31,WAS,0.001,79,38.7,21.4,10.2,1.5,1.3,0.4,0.436,0.33899999999999997,0.76,9.2,0.14400000000000002,2008,False,0.524,-0.61,True
Paul Pierce,30,BOS,0.001,80,35.9,19.6,5.1,4.5,1.3,0.5,0.46399999999999997,0.392,0.843,12.4,0.207,2008,False,0.805,9.3,True
Rasheed Wallace,33,DET,0.001,77,30.5,12.7,6.6,1.8,1.2,1.7,0.43200000000000005,0.35600000000000004,0.767,7.6,0.155,2008,False,0.72,6.67,True
LeBron James,24,CLE,0.9690000000000001,81,37.7,28.4,7.6,7.2,1.7,1.1,0.489,0.344,0.78,20.3,0.318,2009,True,0.805,8.68,True
Kobe Bryant,30,LAL,0.5770000000000001,82,36.1,26.8,5.2,4.9,1.5,0.5,0.467,0.35100000000000003,0.856,12.7,0.20600000000000002,2009,False,0.7929999999999999,7.11,True
Dwyane Wade,27,MIA,0.562,79,38.6,30.2,5.0,7.5,2.2,1.3,0.491,0.317,0.765,14.7,0.23199999999999998,2009,False,0.524,0.49,True
Dwight Howard,23,ORL,0.271,79,35.7,20.6,13.8,1.4,1.0,2.9,0.5720000000000001,0.0,0.594,13.8,0.23399999999999999,2009,False,0.72,6.48,True
Chris Paul,23,NOH,0.159,78,38.5,22.8,5.5,11.0,2.8,0.1,0.503,0.364,0.868,18.3,0.292,2009,False,0.598,1.41,True
Paul Pierce,31,BOS,0.017,81,37.5,20.5,5.6,3.6,1.0,0.3,0.457,0.391,0.83,10.3,0.16399999999999998,2009,False,0.7559999999999999,7.44,True
Tony Parker,26,SAS,0.006999999999999999,72,34.1,22.0,3.1,6.9,0.9,0.1,0.506,0.292,0.782,8.6,0.168,2009,False,0.659,3.36,True
Brandon Roy,24,POR,0.006,78,37.2,22.6,4.7,5.1,1.1,0.3,0.48,0.377,0.8240000000000001,13.5,0.223,2009,False,0.659,5.0,True
Dirk Nowitzki,30,DAL,0.002,81,37.7,25.9,8.4,2.4,0.8,0.8,0.479,0.359,0.89,10.9,0.171,2009,False,0.61,1.68,True
Tim Duncan,32,SAS,0.002,75,33.7,19.3,10.7,3.5,0.5,1.7,0.504,0.0,0.6920000000000001,10.1,0.191,2009,False,0.659,3.36,True
Yao Ming,28,HOU,0.001,77,33.6,19.7,9.9,1.8,0.4,1.9,0.5479999999999999,1.0,0.866,10.6,0.196,2009,False,0.6459999999999999,3.73,True
LeBron James,25,CLE,0.98,76,39.0,29.7,7.3,8.6,1.6,1.0,0.503,0.33299999999999996,0.767,18.5,0.299,2010,True,0.7440000000000001,6.17,True
Kevin Durant,21,OKC,0.495,82,39.5,30.1,7.6,2.8,1.4,1.0,0.47600000000000003,0.365,0.9,16.1,0.23800000000000002,2010,False,0.61,3.55,True
Kobe Bryant,31,LAL,0.48700000000000004,73,38.8,27.0,5.4,5.0,1.5,0.3,0.456,0.32899999999999996,0.8109999999999999,9.4,0.16,2010,False,0.695,4.78,True
Dwight Howard,24,ORL,0.389,82,34.7,18.3,13.2,1.8,0.9,2.8,0.612,0.0,0.5920000000000001,13.2,0.223,2010,False,0.72,7.12,True
